"greenhouse","species","plant_no","plant","co2","resprouter","drought_phase","water_potential_mpa","osmotic_potential_mpa","transpiration_mean_g_day","plant_height","vol_swc_cm3_per_cm3","ysoil_kpa","water_potential_midday_kpa","whole_plant_leaf_area_mm2","whole_plant_leaf_area_cm2","leaves_biomass","SLA","percentage_biomass_change_1_2","percentage_biomass_change_2_3","whole_plant_conductance","whole_plant_conductivity","leaf_specific_conductance","leaf_specific_conductivity","leaf_specific_transpiration","root_shoot_ratio","stems_biomass","total_aboveground_biomass","total_belowground_biomass"
"D","DPE","3W","DDPE3W","ambient","R+","1",-1.91,-1.2816113,73.3333333333333,40,0.279139283575054,-10.7963216530258,-1910,117990.466645732,1179.90466645732,6.58091515151515,17.9291882556131,,,0.0386126744431967,1.54450697772787,3.27252493704697e-05,0.00130900997481879,0.0621519139792181,,,,
"D","DPE","3W","DDPE3W","ambient","R+","2",-2.04,-1.7071938,158.888888888889,,0.179774876795393,-46.4243317931391,-2040,214952.929334799,2149.52929334799,11.9889939393939,,82.1782178217822,,0.0797004555296378,3.18801822118551,3.70780969472162e-05,0.00148312387788865,0.0739179918973853,,,,
"D","DPE","3W","DDPE3W","ambient","R+","3",-2.53,-2.0355003,125.555555555556,,0.091,-443.5576565,-2530,192756.702936097,1927.56702936097,10.751,,,-10.3260869565217,0.0601768632364585,2.40707452945834,3.12190768569063e-05,0.00124876307427625,0.0651368038792301,0.333134954,24.535,35.286,11.755
"D","LST","1W","DLST1W","ambient","R-","1",-1.53,-1.0967869,73.0769230769231,22,0.266226914481624,-12.6317072600104,-1530,87265.9036168456,872.659036168456,3.89930666666667,22.3798513625103,,,0.0481603071756326,1.05952675786392,5.51880003295306e-05,0.00121413600724967,0.0837405218397538,,,,
"D","LST","1W","DLST1W","ambient","R-","2",-0.84,-1.2840432,135.333333333333,,0.164955728040946,-61.7446540698224,-840,152715.33132948,1527.1533132948,6.82378666666667,,75,,0.173893226742415,3.82565098833314,0.000113867563412638,0.00250508639507803,0.0886180399539289,,,,
"D","LST","1W","DLST1W","ambient","R-","3",-2.25,-1.5928945,120,,0.08,-679.8748702,-2250,204529.461601982,2045.29461601982,9.139,,,33.9285714285714,0.0764270297458938,1.68139465440966,3.73672473135544e-05,0.000822079440898197,0.0586712540384633,0.441404723,8.772,17.911,7.906
"D","LST","2D","DLST2D","ambient","R-","1",-1.6,-1.0068066,103.846153846154,38,0.237738677026833,-18.3823622759563,-1600,312282.461372291,3122.82461372291,14.7954461538462,21.1066606660666,,,0.0656581915687214,2.49501127961141,2.10252574801011e-05,0.000798959784243841,0.0332539180682173,,,,
"D","LST","2D","DLST2D","ambient","R-","2",-1.25,-1.45914,93.3333333333333,,0.125662405840393,-152.162100131408,-1250,324609.400636987,3246.09400636987,15.3794769230769,,3.94736842105263,,0.0850155868589571,3.23059230064037,2.61901185523677e-05,0.000995224504989973,0.0287525047488408,,,,
"D","LST","2D","DLST2D","ambient","R-","3",-6.7,-5.3355886,25,,0.049,-3452.806897,-6700,267083.684068407,2670.83684068407,12.654,,,-17.7215189873418,0.00769895697822933,0.292560365172714,2.8826010113959e-06,0.000109538838433044,0.0093603621229056,0.298843264,12.503,25.157,7.518
"D","LST","2W","DLST2W","ambient","R-","1",-1.32,-0.9678962,126.923076923077,50,0.264422521677338,-12.919715745998,-1320,738192.212441979,7381.92212441979,21.4261363636364,34.4528850145289,,,0.0971042700682434,4.85521350341217,1.31543341194318e-05,0.000657716705971588,0.017193770779999,,,,
"D","LST","2W","DLST2W","ambient","R-","2",-1.55,-1.5418246,142,,0.154464894558694,-76.7717666025711,-1550,777562.463772218,7775.62463772218,22.5688636363636,,5.33333333333334,,0.0963869662425164,4.81934831212582,1.23960415700767e-05,0.000619802078503833,0.0182621984234051,,,,
"D","LST","2W","DLST2W","ambient","R-","3",-3.97,-3.6746009,38,,0.059,-1865.51127,-3970,433072.764632628,4330.72764632628,12.57,,,-44.3037974683544,0.0180566421945153,0.902832109725767,4.16942455613265e-06,0.000208471227806633,0.00877450698896642,0.310436953,15.877,28.447,8.831
"D","LST","3D","DLST3D","ambient","R-","1",-1.6,-1.0092385,88.4615384615385,36,0.265745057446556,-12.7077941555362,-1600,231502.885728907,2315.02885728907,11.2629152542373,20.5544373284538,,,0.0557310986192839,2.00631955029422,2.40736086048387e-05,0.000866649909774192,0.0382118513050106,,,,
"D","LST","3D","DLST3D","ambient","R-","2",-1.34,-1.5393927,84.6666666666667,,0.151973871005878,-81.0229976380351,-1340,264057.979034534,2640.57979034534,12.8467627118644,,14.0625,,0.0672503679636909,2.42101324669287,2.54680310019701e-05,0.000916849116070924,0.0320636653269219,,,,
"D","LST","3D","DLST3D","ambient","R-","3",-5.04,-4.7227498,24,,0.053,-2661.937093,-5040,213416.722781336,2134.16722781336,10.383,,,-19.1780821917808,0.0100922477405262,0.363320918658944,4.72889266079989e-06,0.000170240135788796,0.0112456042278328,0.308746405,13.261,23.644,7.3
"D","LST","4D","DLST4D","ambient","R-","1",-1.37,-1.1746077,109.230769230769,34,0.256443535801389,-14.3009412938999,-1370,342979.180700676,3429.79180700676,11.431,30.0043023970498,,,0.0805715461180749,2.73943256801455,2.34916725713422e-05,0.000798716867425634,0.0318476383924005,,,,
"D","LST","4D","DLST4D","ambient","R-","2",-1.66,-1.7096257,86.6666666666667,,0.146697773089524,-91.0915984500652,-1660,377277.098770744,3772.77098770744,12.5741,,10,,0.0552401061662033,1.87816360965091,1.46417861953955e-05,0.000497820730643446,0.0229716213756538,,,,
"D","LST","4D","DLST4D","ambient","R-","3",-5.26,-5.0461925,35,,0.055,-2354.34433,-5260,342979.180700676,3429.79180700676,11.431,,,-9.0909090909091,0.0120454740599047,0.40954611803676,3.51201318846726e-06,0.000119408448407887,0.0102047010341847,0.355137627,10.476,21.907,7.78
"D","SRO","1W","DROF1W","ambient","R-","1",-1.06,-1.0019428,161.428571428571,54,0.269222792164614,-12.1717100689934,-1060,227111.273505783,2271.11273505783,19.8621276595745,11.434387966805,,,0.154060138459519,8.319247476814,6.78346504254867e-05,0.00366307112297628,0.0710790657534053,,,,
"D","SRO","1W","DROF1W","ambient","R-","2",-1.03,-1.2743156,150,,0.170282114198512,-55.5708384087204,-1030,206833.481228481,2068.33481228481,18.0887234042553,,-8.92857142857143,,0.153936279734326,8.3125591056536,7.44252230441738e-05,0.00401896204438538,0.0725221076921782,,,,
"D","SRO","1W","DROF1W","ambient","R-","3",-2.28,-1.6269411,82.5,,0.085,-556.0944453,-2280,190611.247406639,1906.11247406639,16.67,,,-7.84313725490195,0.0478564500097321,2.58424830052553,2.51068342822593e-05,0.001355769051242,0.0432818110801191,0.173055369,19.018,35.688,6.176
"D","SRO","2D","DROF2D","ambient","R-","1",-1.14,-0.9995109,83.5714285714286,53,0.247629070427773,-16.0590518772071,-1140,207168.289694454,2071.68289694454,15.27625,13.5614623807842,,,0.0743557112239835,3.94085269487112,3.58914539158711e-05,0.00190224705754117,0.0403398747437097,,,,
