"plant","species","plant_no","greenhouse","co2","resprouter","drought_phase","water_potential_mpa","water_potential_midday_log","osmotic_potential_mpa","osmotic_potential_log","transpiration_mean_g_day","transpiration_mean_log","whole_plant_conductance","whole_plant_conductance_log","whole_plant_conductivity","whole_plant_conductivity_log","leaf_specific_transpiration","leaf_specific_transpiration_log","leaf_specific_conductance","leaf_specific_conductance_log","leaf_specific_conductivity","leaf_specific_conductivity_log","whole_plant_leaf_area_cm2","whole_plant_leaf_area_log","leaves_biomass","leaves_biomass_log"
"DCAL4W","CAL","4W","D","ambient","R-","1",-1.45,0.371563556432483,-1.1843353,0.169181688937935,218.666666666667,5.38754850027598,0.152438552485769,-1.88099369865414,8.84143604417458,2.17944931189227,0.0603047263155335,-2.80834479829512,4.20400846993462e-05,-10.0768869972252,0.00243832491256208,-6.01644398667883,3626.02867182471,8.1958932985711,23.1306923076923,3.14116040695376
"DCAL4W","CAL","4W","D","ambient","R-","2",-1.51,0.412109650826833,-1.3837511,0.324797999981676,277.857142857143,5.62710710699723,0.193995399745773,-1.63992083285061,11.2517331852549,2.42052217769581,0.0328407862790385,-3.41608405196107,2.29289101466186e-05,-10.6831119918089,0.00132987678850388,-6.62266898126249,8460.733567591,9.0431911589583,53.9716153846154,3.98845826734096
"DCAL4W","CAL","4W","D","ambient","R-","3",-4.29,1.45628673293993,-3.1736295,1.15487588561214,77.5,4.3502779363593,0.0224772040653381,-3.79525363600947,1.30367783578961,0.265189374536946,0.0147968620796498,-4.21334014233712,4.2915108192381e-06,-12.3588717147059,0.00024890762751581,-8.29842870415947,5237.59697041347,8.56361807869642,33.411,3.50888518707907
"DCAL5W","CAL","5W","D","ambient","R-","1",-1.08,0.0769610411361284,-1.3424088,0.294465612132441,136.666666666667,4.91754487103025,0.128298876409059,-2.05339276492766,6.9281393260892,1.93559128163661,0.0282625925266633,-3.56621616755189,2.65321380408145e-05,-10.5371538035098,0.00143273545420398,-6.54816975694552,4835.60262696118,8.48376103858213,17.5726875,2.86634585009209
"DCAL5W","CAL","5W","D","ambient","R-","2",-1.08,0.0769610411361284,-1.4445486,0.36779688521799,138.571428571429,4.93138592244212,0.139132473206234,-1.97232875506099,7.51315355313664,2.01665529150329,0.020298351514141,-3.89721560243175,2.03805349868079e-05,-10.8009302799348,0.00110054888928763,-6.81194623337057,6826.73312041579,8.82860152487386,24.8085,3.21118633638382
"DCAL5W","CAL","5W","D","ambient","R-","3",-4.64,1.53471436623816,-3.0301474,1.10861126520274,46.25,3.83406146395843,0.0233814606382485,-3.75581185105521,1.26259887446542,0.233172195509061,0.010162254591809,-4.58907495280726,5.13747796182147e-06,-12.1789482678209,0.00027742380993836,-8.18996422125663,4551.15541361052,8.4231364167657,16.539,2.80572122827566
"DDPE1D","DPE","1D","D","ambient","R+","1",-1.79,0.582215619852664,-1.6415325,0.495630256727875,73.3333333333333,4.29501525768425,0.0413082002885204,-3.18669424452296,1.65232801154081,0.502185209590969,0.034649876134333,-3.36246112811934,1.95180548635834e-05,-10.8441706303266,0.000780722194543337,-7.15529117621262,2116.40968207302,7.65747638580359,8.46481690140845,2.13591838527538
"DDPE1D","DPE","1D","D","ambient","R+","2",-2.12,0.751416088683921,-2.1376401,0.759702463540523,81.1111111111111,4.39581995680622,0.0399410443415532,-3.22035080357584,1.59764177366213,0.468528650538094,0.0338275576453689,-3.38647949373011,1.66574956423577e-05,-11.0026502541122,0.000666299825694308,-7.31377079999824,2397.78206755094,7.78229945053633,9.59019718309859,2.26074145000811
"DDPE1D","DPE","1D","D","ambient","R+","3",-5.84,1.76473079684014,,,16.6666666666667,2.81341071676004,0.00419341147978715,-5.47424068067231,0.167736459191486,-1.78536122655837,0.00959415584385342,-4.64660113214704,2.41393459526892e-06,-12.9342525295794,9.65573838107566e-05,-9.24537307546544,1737.1686407767,7.46001184890707,6.948,1.93845384837886
"DDPE1W","DPE","1W","D","ambient","R+","1",-1.95,0.667829372575655,-1.6512601,0.501538693414042,73.3333333333333,4.29501525768425,0.0378340667603831,-3.27454534517969,1.70253300421724,0.532117144590628,0.0421361983235276,-3.16684809006427,2.17388691872876e-05,-10.7364086929282,0.00097824911342794,-6.92974620315789,1740.3879858897,7.46186334774852,7.56893181818182,2.02405195025129
