"plant","species","co2","greenhouse","plant_no","resprouter","SLA","total_aboveground_biomass","total_belowground_biomass","root_shoot_ratio","leaves_biomass","stems_biomass","total_aboveground_biomass_log","total_belowground_biomass_log","root_shoot_ratio_log","leaves_biomass_log","stems_biomass_log","percentage_biomass_change_1_2","percentage_biomass_change_2_3"
"ESRO3W","SRO","ambient","E","3W","R-",13.8312757201646,25.391,4.531,0.178449057,12.473,12.918,3.23439478052587,1.510942665685,-1.72345211345332,2.52356630814357,2.55862168761028,94.4444444444444,-31.4285714285714
"ESRO4W","SRO","ambient","E","4W","R-",14.5134388807069,53.668,10.252,0.19102631,29.736,23.932,3.98281692072823,2.32747280850182,-1.65534411173089,3.39235843299495,3.17521647552779,141.379310344828,51.4285714285714
"ESRO5W","SRO","ambient","E","5W","R-",12.4257425742574,65.311,9.278,0.142058765,33.497,31.814,4.17916047538822,2.22764600632955,-1.95151446896005,3.51145588258217,3.45990644447617,27.4193548387097,10.126582278481
"FACY1W","ACY","ambient","F","1W","R+",20.7339633849976,55.158,21.845,0.396044092,13.361,41.797,4.01020179410967,3.0839720624034,-0.926229730491533,2.59234001560676,3.73282456662017,46.6666666666667,-9.0909090909091
"FACY2D","ACY","ambient","F","2D","R+",21.5011861313869,41.867,11.734,0.280268469,11.752,30.115,3.73449792711773,2.46249061050367,-1.27200731732797,2.46402343887158,3.40502338649568,20,-69.4444444444444
"FACY2W","ACY","ambient","F","2W","R+",26.9986353297953,67.336,15.203,0.225778187,12.481,54.855,4.20969501190928,2.7214927767987,-1.48820223512163,2.52420748793632,4.00469334026945,31.8181818181818,-13.7931034482759
"FACY3W","ACY","ambient","F","3W","R+",30.0693866222592,21.885,8.074,0.36892849,4.04,17.845,3.08580147064286,2.08864902243075,-0.997152447760041,1.39624469197306,2.88172335694212,40,-71.4285714285714
"FACY4W","ACY","ambient","F","4W","R+",23.8231720625682,27.096,10.082,0.372084441,7.044,20.052,3.29938611551547,2.31075165566044,-0.988634458532278,1.95217619063396,2.99832889940126,3.57142857142858,-41.3793103448276
"FCAL1D","CAL","ambient","F","1D","R-",14.8658923227355,40.925,12.239,0.299059255,17.525,23.4,3.7117411232572,2.5046275744002,-1.20711354796844,2.86362843292065,3.15273602236366,41.6666666666667,-17.6470588235294
"FCAL1W","CAL","ambient","F","1W","R-",22.6390269886364,62.959,11.663,0.185247542,24.812,38.147,4.14248372088263,2.45642143770891,-1.68606228344997,3.21132740711087,3.64144711767905,50,-8.8888888888889
"FCAL2W","CAL","ambient","F","2W","R-",22.7281770975676,46.244,10.092,0.218233717,20.557,25.687,3.83393172581308,2.31174303077881,-1.52218869414762,3.02320151554354,3.24598502734682,185.714285714286,-30
"FCAL3W","CAL","ambient","F","3W","R-",17.9619594622716,35.595,8.153,0.229049024,16,19.595,3.57220517855584,2.09838595768077,-1.47381921973683,2.77258872223978,2.97527443165159,40,-35.7142857142857
"FCAL4W","CAL","ambient","F","4W","R-",25.6588904167548,23.289,6.116,0.262613251,9.449,13.84,3.14798114609165,1.81090828806682,-1.3370728576097,2.24590891580049,2.62756295018952,54.5454545454545,-17.6470588235294
"FDPE1D","DPE","ambient","F","1D","R+",22.4929577464789,25.68,9.489,0.369509346,5.302,20.378,3.24571247882176,2.25013323299162,-0.995579245273705,1.66808410786683,3.01445588755209,62.5,44.6153846153846
"FDPE1W","DPE","ambient","F","1W","R+",21.7046632124352,23.141,7.317,0.31619204,4.015,19.126,3.14160593604353,1.99020040790189,-1.15140552846418,1.39003734739872,2.95104866592735,-6.25,-43.3333333333333
"FDPE3D","DPE","ambient","F","3D","R+",28.284023668639,24.014,10.081,0.419796785,5.175,18.839,3.17863699360853,2.3106524640718,-0.867984530033696,1.64383933915143,2.93592918918324,31.0810810810811,-12.3711340206186
"FDPE3W","DPE","ambient","F","3W","R+",31.8454935622318,15.516,7.093,0.457141016,3.747,11.769,2.74187174957772,1.95910838221995,-0.782763366757743,1.32095551981155,2.46546895589553,10.1694915254237,-15.3846153846154
"FLST1D","LST","ambient","F","1D","R-",19.608547008547,41.075,8.544,0.208009738,15.966,25.109,3.71539966392333,2.14522928221784,-1.57017038306902,2.77046146122361,3.22322634760546,16.1290322580645,-47.2222222222222
"FLST2DG","LST","ambient","F","2DG","R-",16.6006402561024,41.234,10.721,0.26000388,20.578,20.656,3.71926315874838,2.3722044348741,-1.34705872500103,3.02422254395362,3.02800583410429,78.8461538461539,-3.22580645161291
"FLST4D","LST","ambient","F","4D","R-",21.5397641366798,34.489,11.713,0.33961553,15.547,18.942,3.54064043261714,2.46069933608774,-1.07994109531963,2.7438676939676,2.94138167880391,14.8148148148148,-77.4193548387097
"FLST5D","LST","ambient","F","5D","R-",20.1831971995333,38.566,7.678,0.199087279,18.954,19.612,3.65237105929741,2.03835909657861,-1.61401196246952,2.942014991048,2.97614162378899,67.1052631578947,11.0236220472441
"FSRO1W","SRO","ambient","F","1W","R-",12.2352250489237,74.162,10.129,0.13657938,38.215,35.947,4.30625188961024,2.31540259670466,-1.99084929492355,3.64322810869485,3.58204563144993,35.1351351351352,-15
"FSRO2W","SRO","ambient","F","2W","R-",14.2778276481149,53.603,5.539,0.103333769,26.23,27.373,3.98160503665974,1.71181397905097,-2.26979105405091,3.26690379387878,3.30955712610697,56.4516129032258,-3.09278350515463
"FSRO3W","SRO","ambient","F","3W","R-",9.74825423126997,89.145,10.497,0.117751977,44.351,44.794,4.49026425748673,2.35108950205366,-2.13917475641764,3.79213525641571,3.80207420188028,42.2222222222222,3.12499999999999
"FSRO4W","SRO","ambient","F","4W","R-",12.1187745026862,59.09,9.986,0.168996446,23.747,35.343,4.07906170535758,2.30118411207842,-1.77787759386599,3.16745620671267,3.56510035293209,75.4716981132076,-1.0752688172043
"FSRO5W","SRO","ambient","F","5W","R-",12.6085232903865,66.553,11.64,0.174898201,29.954,36.599,4.19799862271315,2.45444744230329,-1.74355118288812,3.3996628715702,3.60002091762969,-4.00000000000001,-8.33333333333333
