species,drought_phase,phase_day,total_day,date
CAL,2,9,41,03/03/2020
CAL,2,10,42,04/03/2020
CAL,2,11,43,05/03/2020
CAL,2,12,44,06/03/2020
CAL,2,13,45,07/03/2020
CAL,2,14,46,08/03/2020
CAL,2,15,47,09/03/2020
CAL,2,16,48,10/03/2020
CAL,2,17,49,11/03/2020
CAL,2,18,50,12/03/2020
CAL,2_reduce,1,51,13/03/2020
CAL,2_reduce,2,52,14/03/2020
CAL,2_reduce,3,53,15/03/2020
CAL,2_reduce,4,54,16/03/2020
CAL,2_reduce,5,55,17/03/2020
CAL,2_reduce,6,56,18/03/2020
CAL,2_reduce,7,57,19/03/2020
CAL,2_reduce,8,58,20/03/2020
CAL,2_reduce,9,59,21/03/2020
CAL,2_reduce,10,60,22/03/2020
CAL,2_reduce,11,61,23/03/2020
CAL,2_reduce,12,62,24/03/2020
CAL,2_reduce,13,63,25/03/2020
CAL,2_reduce,14,64,26/03/2020
CAL,2_reduce,15,65,27/03/2020
CAL,3,1,66,28/03/2020
CAL,3,2,67,29/03/2020
CAL,3,3,68,30/03/2020
CAL,3,4,69,31/03/2020
CAL,3,5,70,01/04/2020
CAL,3,6,71,02/04/2020
CAL,3,7,72,03/04/2020
CAL,3,8,73,04/04/2020
CAL,3,9,74,05/04/2020
CAL,3,10,75,06/04/2020
CAL,3,11,76,07/04/2020
CAL,3,12,77,08/04/2020
CAL,3,13,78,09/04/2020
CAL,3,14,79,10/04/2020
CAL,3,15,80,11/04/2020
LST,0,1,1,23/01/2020
LST,0,2,2,24/01/2020
LST,0,3,3,25/01/2020
LST,0,4,4,26/01/2020
LST,1,1,5,27/01/2020
LST,1,2,6,28/01/2020
LST,1,3,7,29/01/2020
LST,1,4,8,30/01/2020
LST,1,5,9,31/01/2020
LST,1,6,10,01/02/2020
LST,1,7,11,02/02/2020
LST,1,8,12,03/02/2020
LST,1,9,13,04/02/2020
LST,1,10,14,05/02/2020
LST,1,11,15,06/02/2020
LST,1,12,16,07/02/2020
LST,1,13,17,08/02/2020
LST,1,14,18,09/02/2020
LST,1,15,19,10/02/2020
LST,1,16,20,11/02/2020
LST,1_reduce,1,21,12/02/2020
LST,1_reduce,2,22,13/02/2020
LST,1_reduce,3,23,14/02/2020
LST,1_reduce,4,24,15/02/2020
LST,1_reduce,5,25,16/02/2020
LST,1_reduce,6,26,17/02/2020
LST,1_reduce,7,27,18/02/2020
LST,1_reduce,8,28,19/02/2020
LST,1_reduce,9,29,20/02/2020
LST,1_reduce,10,30,21/02/2020
LST,1_reduce,11,31,22/02/2020
LST,1_reduce,12,32,23/02/2020
LST,2,1,33,24/02/2020
LST,2,2,34,25/02/2020
LST,2,3,35,26/02/2020
LST,2,4,36,27/02/2020
LST,2,5,37,28/02/2020
LST,2,6,38,29/02/2020
LST,2,7,39,01/03/2020
LST,2,8,40,02/03/2020
LST,2,9,41,03/03/2020
LST,2,10,42,04/03/2020
LST,2,11,43,05/03/2020
LST,2,12,44,06/03/2020
LST,2,13,45,07/03/2020
LST,2,14,46,08/03/2020
LST,2,15,47,09/03/2020
LST,2,16,48,10/03/2020
LST,2,17,49,11/03/2020
LST,2,18,50,12/03/2020
LST,2,19,51,13/03/2020
LST,2_reduce,1,52,14/03/2020
LST,2_reduce,2,53,15/03/2020
LST,2_reduce,3,54,16/03/2020
LST,2_reduce,4,55,17/03/2020
LST,2_reduce,5,56,18/03/2020
LST,2_reduce,6,57,19/03/2020
LST,2_reduce,7,58,20/03/2020
LST,2_reduce,8,59,21/03/2020
LST,2_reduce,9,60,22/03/2020
LST,2_reduce,10,61,23/03/2020
LST,2_reduce,11,62,24/03/2020
LST,2_reduce,12,63,25/03/2020
LST,2_reduce,13,64,26/03/2020
LST,2_reduce,14,65,27/03/2020
LST,3,1,66,28/03/2020
LST,3,2,67,29/03/2020
LST,3,3,68,30/03/2020
LST,3,4,69,31/03/2020
LST,3,5,70,01/04/2020
LST,3,6,71,02/04/2020
LST,3,7,72,03/04/2020
LST,3,8,73,04/04/2020
LST,3,9,74,05/04/2020
LST,3,10,75,06/04/2020
LST,3,11,76,07/04/2020
LST,3,12,77,08/04/2020
LST,3,13,78,09/04/2020
LST,3,14,79,10/04/2020
LST,3,15,80,11/04/2020
LST,3,16,81,12/04/2020
LST,3,17,82,13/04/2020
ROF,0,1,1,23/01/2020
ROF,0,2,2,24/01/2020
ROF,0,3,3,25/01/2020
ROF,0,4,4,26/01/2020
ROF,1,1,5,27/01/2020
ROF,1,2,6,28/01/2020
ROF,1,3,7,29/01/2020
ROF,1,4,8,30/01/2020
ROF,1,5,9,31/01/2020
ROF,1,6,10,01/02/2020
ROF,1,7,11,02/02/2020
ROF,1,8,12,03/02/2020
ROF,1,9,13,04/02/2020
ROF,1,10,14,05/02/2020
ROF,1,11,15,06/02/2020
ROF,1,12,16,07/02/2020
ROF,1,13,17,08/02/2020
ROF,1,14,18,09/02/2020
ROF,1,15,19,10/02/2020
ROF,1,16,20,11/02/2020
ROF,1,17,21,12/02/2020
ROF,1_reduce,1,22,13/02/2020
ROF,1_reduce,2,23,14/02/2020
ROF,1_reduce,3,24,15/02/2020
ROF,1_reduce,4,25,16/02/2020
ROF,1_reduce,5,26,17/02/2020
ROF,1_reduce,6,27,18/02/2020
ROF,1_reduce,7,28,19/02/2020
ROF,1_reduce,8,29,20/02/2020
ROF,1_reduce,9,30,21/02/2020
ROF,1_reduce,10,31,22/02/2020
ROF,1_reduce,11,32,23/02/2020
ROF,2,1,33,24/02/2020
ROF,2,2,34,25/02/2020
ROF,2,3,35,26/02/2020
ROF,2,4,36,27/02/2020
ROF,2,5,37,28/02/2020
ROF,2,6,38,29/02/2020
ROF,2,7,39,01/03/2020
ROF,2,8,40,02/03/2020
ROF,2,9,41,03/03/2020
ROF,2,10,42,04/03/2020
ROF,2,11,43,05/03/2020
ROF,2,12,44,06/03/2020
ROF,2,13,45,07/03/2020
ROF,2,14,46,08/03/2020
ROF,2,15,47,09/03/2020
ROF,2,16,48,10/03/2020
ROF,2_reduce,1,49,11/03/2020
