greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,plant_height,large_leaves_count,small_leaves_count,total_leaves_count_marked,flowers_count
A,DPE,3D,ADPE3D,11/3/20,2,13,49,elevated,R+,,133,0,133,
B,ACY,1W,BACY1W,9/3/20,2,15,47,elevated,R+,,14,11,25,
B,ACY,2W,BACY2W,9/3/20,2,15,47,elevated,R+,,15,29,44,
B,ACY,3W,BACY3W,9/3/20,2,15,47,elevated,R+,,13,13,26,
B,ACY,5W,BACY5W,9/3/20,2,15,47,elevated,R+,,6,29,35,
B,ACY,6W,BACY6W,9/3/20,2,15,47,elevated,R+,,19,23,42,
B,CAL,1W,BCAL1W,12/3/20,2,18,50,elevated,R-,,6,25,31,
B,CAL,3W,BCAL3W,12/3/20,2,18,50,elevated,R-,,8,15,23,
B,CAL,4W,BCAL4W,12/3/20,2,18,50,elevated,R-,,14,19,33,
B,CAL,5W,BCAL5W,12/3/20,2,18,50,elevated,R-,,12,2,14,
B,CAL,6W,BCAL6W,12/3/20,2,18,50,elevated,R-,,12,31,43,
B,ROF,1W,BROF1W,10/3/20,2,16,48,elevated,R-,,40,50,90,
B,ROF,2W,BROF2W,10/3/20,2,16,48,elevated,R-,,27,54,81,
B,ROF,3W,BROF3W,10/3/20,2,16,48,elevated,R-,,30,37,67,
B,LST,1W,BLST1W,13/03/2020,2,19,51,elevated,R-,,17,0,17,
B,LST,2W,BLST2W,13/03/2020,2,19,51,elevated,R-,,25,73,98,
B,LST,4W,BLST4W,13/03/2020,2,19,51,elevated,R-,,19,75,94,
B,LST,1D,BLST1D,13/03/2020,2,19,51,elevated,R-,,55,20,75,
B,DPE,1W,BDPE1W,11/3/20,2,13,49,elevated,R+,,118,0,118,
B,DPE,2W,BDPE2W,11/3/20,2,13,49,elevated,R+,,75,0,75,
B,DPE,3W,BDPE3W,11/3/20,2,13,49,elevated,R+,,69,0,69,
B,DPE,4W,BDPE4W,11/3/20,2,13,49,elevated,R+,,80,0,80,
B,DPE,3D,BDPE3D,11/3/20,2,13,49,elevated,R+,,50,0,50,
B,DPE,4D,BDPE4D,11/3/20,2,13,49,elevated,R+,,101,0,101,
C,ACY,1W,CACY1W,9/3/20,2,15,47,elevated,R+,,8,36,44,
C,ACY,2W,CACY2W,9/3/20,2,15,47,elevated,R+,,13,33,46,
C,ACY,4W,CACY4W,9/3/20,2,15,47,elevated,R+,,4,17,21,
C,ACY,5W,CACY5W,9/3/20,2,15,47,elevated,R+,,6,50,56,
C,CAL,1W,CCAL1W,12/3/20,2,18,50,elevated,R-,,14,20,34,
C,CAL,2W,CCAL2W,12/3/20,2,18,50,elevated,R-,,19,4,23,
C,CAL,3W,CCAL3W,12/3/20,2,18,50,elevated,R-,,12,18,30,
C,CAL,4W,CCAL4W,12/3/20,2,18,50,elevated,R-,,13,15,28,
C,CAL,5W,CCAL5W,12/3/20,2,18,50,elevated,R-,,17,4,21,
C,ROF,1W,CROF1W,10/3/20,2,16,48,elevated,R-,,33,73,106,
C,ROF,2W,CROF2W,10/3/20,2,16,48,elevated,R-,,20,46,66,
C,ROF,3W,CROF3W,10/3/20,2,16,48,elevated,R-,,22,23,45,
C,ROF,4W,CROF4W,10/3/20,2,16,48,elevated,R-,,10,33,43,
C,ROF,3D,CROF3D,10/3/20,2,16,48,elevated,R-,,20,34,54,
C,ROF,5D,CROF5D,10/3/20,2,16,48,elevated,R-,,19,38,57,
C,LST,1W,CLST1W,13/03/2020,2,19,51,elevated,R-,,49,0,49,
C,LST,3W,CLST3W,13/03/2020,2,19,51,elevated,R-,,35,29,64,
C,LST,4W,CLST4W,13/03/2020,2,19,51,elevated,R-,,21,3,24,
C,LST,1D,CLST1D,13/03/2020,2,19,51,elevated,R-,,23,22,45,
C,DPE,1W,CDPE1W,11/3/20,2,13,49,elevated,R+,,125,0,125,
C,DPE,2W,CDPE2W,11/3/20,2,13,49,elevated,R+,,148,0,148,
C,DPE,3W,CDPE3W,11/3/20,2,13,49,elevated,R+,,45,0,45,
C,DPE,2D,CDPE2D,11/3/20,2,13,49,elevated,R+,,108,0,108,
D,ACY,1W,DACY1W,9/3/20,2,15,47,ambient,R+,,44,64,108,
D,ACY,2W,DACY2W,9/3/20,2,15,47,ambient,R+,,14,26,40,
D,ACY,3W,DACY3W,9/3/20,2,15,47,ambient,R+,,40,46,86,
D,ACY,4W,DACY4W,9/3/20,2,15,47,ambient,R+,,18,50,68,
D,ACY,5W,DACY5W,9/3/20,2,15,47,ambient,R+,,11,29,40,
D,CAL,2W,DCAL2W,12/3/20,2,18,50,ambient,R-,,16,6,22,
D,CAL,3W,DCAL3W,12/3/20,2,18,50,ambient,R-,,12,0,12,
D,CAL,4W,DCAL4W,12/3/20,2,18,50,ambient,R-,,20,22,42,
D,CAL,5W,DCAL5W,12/3/20,2,18,50,ambient,R-,,18,6,24,
D,CAL,3D,DCAL3D,12/3/20,2,18,50,ambient,R-,,14,3,17,
D,ROF,1W,DROF1W,10/3/20,2,16,48,ambient,R-,,24,27,51,
D,ROF,2W,DROF2W,10/3/20,2,16,48,ambient,R-,,22,74,96,
D,ROF,3W,DROF3W,10/3/20,2,16,48,ambient,R-,,43,34,77,
D,ROF,4W,DROF4W,10/3/20,2,16,48,ambient,R-,,32,68,100,
D,ROF,2D,DROF2D,10/3/20,2,16,48,ambient,R-,,28,67,95,
D,LST,1W,DLST1W,13/03/2020,2,19,51,ambient,R-,,36,20,56,
D,LST,2W,DLST2W,13/03/2020,2,19,51,ambient,R-,,31,48,79,
D,LST,3D,DLST3D,13/03/2020,2,19,51,ambient,R-,,37,36,73,
D,LST,4D,DLST4D,13/03/2020,2,19,51,ambient,R-,,38,50,88,
D,LST,2D,DLST2D,13/03/2020,2,19,51,ambient,R-,,79,0,79,
D,DPE,1W,DDPE1W,11/3/20,2,13,49,ambient,R+,,84,0,84,
D,DPE,2W,DDPE2W,11/3/20,2,13,49,ambient,R+,,140,0,140,
D,DPE,3W,DDPE3W,11/3/20,2,13,49,ambient,R+,,184,0,184,
D,DPE,1D,DDPE1D,11/3/20,2,13,49,ambient,R+,,196,0,196,
E,ACY,1W,EACY1W,9/3/20,2,15,47,ambient,R+,,29,47,76,
E,ACY,2W,EACY2W,9/3/20,2,15,47,ambient,R+,,14,15,29,
E,ACY,3W,EACY3W,9/3/20,2,15,47,ambient,R+,,19,32,51,
E,ACY,5W,EACY5W,9/3/20,2,15,47,ambient,R+,,31,42,73,
E,CAL,1W,ECAL1W,12/3/20,2,18,50,ambient,R-,,14,0,14,
E,CAL,2W,ECAL2W,12/3/20,2,18,50,ambient,R-,,15,21,36,
E,CAL,3W,ECAL3W,12/3/20,2,18,50,ambient,R-,,17,18,35,
E,CAL,4W,ECAL4W,12/3/20,2,18,50,ambient,R-,,14,20,34,
E,CAL,5W,ECAL5W,12/3/20,2,18,50,ambient,R-,,20,12,32,
E,ROF,1W,EROF1W,10/3/20,2,16,48,ambient,R-,,28,10,38,
E,ROF,2W,EROF2W,10/3/20,2,16,48,ambient,R-,,34,19,53,
E,ROF,3W,EROF3W,10/3/20,2,16,48,ambient,R-,,24,11,35,
E,ROF,4W,EROF4W,10/3/20,2,16,48,ambient,R-,,38,32,70,
E,ROF,5W,EROF5W,10/3/20,2,16,48,ambient,R-,,27,52,79,
E,LST,1W,ELST1W,13/03/2020,2,19,51,ambient,R-,,49,0,49,
E,LST,4W,ELST4W,13/03/2020,2,19,51,ambient,R-,,34,19,53,
E,LST,1D,ELST1D,13/03/2020,2,19,51,ambient,R-,,26,4,30,
E,DPE,1W,EDPE1W,11/3/20,2,13,49,ambient,R+,,75,0,75,
E,DPE,2W,EDPE2W,11/3/20,2,13,49,ambient,R+,,157,0,157,
E,DPE,3W,EDPE3W,11/3/20,2,13,49,ambient,R+,,80,0,80,
E,DPE,4W,EDPE4W,11/3/20,2,13,49,ambient,R+,,105,0,105,
E,DPE,5W,EDPE5W,11/3/20,2,13,49,ambient,R+,,167,0,167,
F,ACY,1W,FACY1W,9/3/20,2,15,47,ambient,R+,,13,31,44,
F,ACY,2W,FACY2W,9/3/20,2,15,47,ambient,R+,,16,13,29,
F,ACY,3W,FACY3W,9/3/20,2,15,47,ambient,R+,,17,11,28,
F,ACY,4W,FACY4W,9/3/20,2,15,47,ambient,R+,,12,17,29,
F,ACY,2D,FACY2D,9/3/20,2,15,47,ambient,R+,,13,23,36,
F,CAL,1W,FCAL1W,12/3/20,2,18,50,ambient,R-,,16,29,45,
F,CAL,2W,FCAL2W,12/3/20,2,18,50,ambient,R-,,16,24,40,
F,CAL,3W,FCAL3W,12/3/20,2,18,50,ambient,R-,,12,2,14,
F,CAL,4W,FCAL4W,12/3/20,2,18,50,ambient,R-,,4,13,17,
