greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,plant_height,large_leaves_count,small_leaves_count,total_leaves_count_marked,flowers_count
B,ROF,2W,BROF2W,16/04/2020,3,20,85,elevated,R-,,20,76,96,
B,ROF,3W,BROF3W,16/04/2020,3,20,85,elevated,R-,,24,59,83,
B,LST,1W,BLST1W,13/04/2020,3,17,82,elevated,R-,,0,0,0,
B,LST,2W,BLST2W,13/04/2020,3,17,82,elevated,R-,,20,45,65,
B,LST,4W,BLST4W,13/04/2020,3,17,82,elevated,R-,,72,48,120,
B,LST,1D,BLST1D,13/04/2020,3,17,82,elevated,R-,,17,26,43,
B,DPE,1W,BDPE1W,12/4/20,3,16,81,elevated,R+,,58,0,58,
B,DPE,2W,BDPE2W,12/4/20,3,16,81,elevated,R+,,69,0,69,
B,DPE,3W,BDPE3W,12/4/20,3,16,81,elevated,R+,,75,0,75,
B,DPE,4W,BDPE4W,12/4/20,3,16,81,elevated,R+,,0,0,0,
B,DPE,3D,BDPE3D,12/4/20,3,16,81,elevated,R+,,13,0,13,
B,DPE,4D,BDPE4D,12/4/20,3,16,81,elevated,R+,,80,0,80,
C,ACY,1W,CACY1W,10/4/20,3,14,79,elevated,R+,,8,12,20,0
C,ACY,2W,CACY2W,10/4/20,3,14,79,elevated,R+,,10,30,40,30
C,ACY,4W,CACY4W,10/4/20,3,14,79,elevated,R+,,6,9,15,19
C,ACY,5W,CACY5W,10/4/20,3,14,79,elevated,R+,,3,3,6,143
C,CAL,1W,CCAL1W,11/4/20,3,15,80,elevated,R-,,10,16,26,
C,CAL,2W,CCAL2W,11/4/20,3,15,80,elevated,R-,,8,2,10,
C,CAL,3W,CCAL3W,11/4/20,3,15,80,elevated,R-,,7,18,25,
C,CAL,4W,CCAL4W,11/4/20,3,15,80,elevated,R-,,10,22,32,
C,CAL,5W,CCAL5W,11/4/20,3,15,80,elevated,R-,,7,3,10,
C,ROF,1W,CROF1W,16/04/2020,3,20,85,elevated,R-,,32,87,119,
C,ROF,2W,CROF2W,16/04/2020,3,20,85,elevated,R-,,26,60,86,
C,ROF,3W,CROF3W,16/04/2020,3,20,85,elevated,R-,,22,74,96,
C,ROF,4W,CROF4W,16/04/2020,3,20,85,elevated,R-,,14,43,57,
C,ROF,3D,CROF3D,16/04/2020,3,20,85,elevated,R-,,18,47,65,
C,ROF,5D,CROF5D,16/04/2020,3,20,85,elevated,R-,,22,32,54,
C,LST,1W,CLST1W,13/04/2020,3,17,82,elevated,R-,,50,22,72,76
C,LST,3W,CLST3W,13/04/2020,3,17,82,elevated,R-,,38,38,76,
C,LST,4W,CLST4W,13/04/2020,3,17,82,elevated,R-,,21,5,26,
C,LST,1D,CLST1D,13/04/2020,3,17,82,elevated,R-,,0,0,0,
C,DPE,1W,CDPE1W,12/4/20,3,16,81,elevated,R+,,141,0,141,
C,DPE,2W,CDPE2W,12/4/20,3,16,81,elevated,R+,,171,0,171,
C,DPE,3W,CDPE3W,12/4/20,3,16,81,elevated,R+,,103,0,103,
C,DPE,2D,CDPE2D,12/4/20,3,16,81,elevated,R+,,84,0,84,
D,ACY,1W,DACY1W,10/4/20,3,14,79,ambient,R+,,31,47,78,0
D,ACY,2W,DACY2W,10/4/20,3,14,79,ambient,R+,,13,20,33,0
D,ACY,3W,DACY3W,10/4/20,3,14,79,ambient,R+,,25,22,47,0
D,ACY,4W,DACY4W,10/4/20,3,14,79,ambient,R+,,15,11,26,324
D,ACY,5W,DACY5W,10/4/20,3,14,79,ambient,R+,,0,16,16,0
D,CAL,2W,DCAL2W,11/4/20,3,15,80,ambient,R-,,8,6,14,
D,CAL,3W,DCAL3W,11/4/20,3,15,80,ambient,R-,,8,0,8,
D,CAL,4W,DCAL4W,11/4/20,3,15,80,ambient,R-,,10,16,26,
D,CAL,5W,DCAL5W,11/4/20,3,15,80,ambient,R-,,9,7,16,
D,CAL,3D,DCAL3D,11/4/20,3,15,80,ambient,R-,,12,6,18,
D,ROF,1W,DROF1W,16/04/2020,3,20,85,ambient,R-,,26,21,47,
D,ROF,2W,DROF2W,16/04/2020,3,20,85,ambient,R-,,29,59,88,
D,ROF,3W,DROF3W,16/04/2020,3,20,85,ambient,R-,,18,55,73,
D,ROF,4W,DROF4W,16/04/2020,3,20,85,ambient,R-,,5,24,29,
D,ROF,2D,DROF2D,16/04/2020,3,20,85,ambient,R-,,30,98,128,
D,LST,1W,DLST1W,13/04/2020,3,17,82,ambient,R-,,28,47,75,
D,LST,2W,DLST2W,13/04/2020,3,17,82,ambient,R-,,38,6,44,
D,LST,3D,DLST3D,13/04/2020,3,17,82,ambient,R-,,14,45,59,
D,LST,4D,DLST4D,13/04/2020,3,17,82,ambient,R-,,10,70,80,
D,LST,2D,DLST2D,13/04/2020,3,17,82,ambient,R-,,5,60,65,
D,DPE,1W,DDPE1W,12/4/20,3,16,81,ambient,R+,,88,0,88,
D,DPE,2W,DDPE2W,12/4/20,3,16,81,ambient,R+,,101,0,101,
D,DPE,3W,DDPE3W,12/4/20,3,16,81,ambient,R+,,165,0,165,
D,DPE,1D,DDPE1D,12/4/20,3,16,81,ambient,R+,,142,0,142,
E,ACY,1W,EACY1W,10/4/20,3,14,79,ambient,R+,,15,17,32,142
E,ACY,2W,EACY2W,10/4/20,3,14,79,ambient,R+,,0,2,2,22
E,ACY,3W,EACY3W,10/4/20,3,14,79,ambient,R+,,7,12,19,32
E,ACY,5W,EACY5W,10/4/20,3,14,79,ambient,R+,,19,32,51,0
E,CAL,1W,ECAL1W,11/4/20,3,15,80,ambient,R-,,8,2,10,
E,CAL,2W,ECAL2W,11/4/20,3,15,80,ambient,R-,,7,22,29,
E,CAL,3W,ECAL3W,11/4/20,3,15,80,ambient,R-,,6,18,24,
E,CAL,4W,ECAL4W,11/4/20,3,15,80,ambient,R-,,7,16,23,
E,CAL,5W,ECAL5W,11/4/20,3,15,80,ambient,R-,,18,18,36,
E,ROF,1W,EROF1W,16/04/2020,3,20,85,ambient,R-,,17,9,26,
E,ROF,2W,EROF2W,16/04/2020,3,20,85,ambient,R-,,30,23,53,
E,ROF,3W,EROF3W,16/04/2020,3,20,85,ambient,R-,,24,0,24,
E,ROF,4W,EROF4W,16/04/2020,3,20,85,ambient,R-,,40,66,106,
E,ROF,5W,EROF5W,16/04/2020,3,20,85,ambient,R-,,29,58,87,
E,LST,1W,ELST1W,13/04/2020,3,17,82,ambient,R-,,28,4,32,
E,LST,4W,ELST4W,13/04/2020,3,17,82,ambient,R-,,31,20,51,30
E,LST,1D,ELST1D,13/04/2020,3,17,82,ambient,R-,,0,30,30,
E,DPE,1W,EDPE1W,12/4/20,3,16,81,ambient,R+,,63,0,63,
E,DPE,2W,EDPE2W,12/4/20,3,16,81,ambient,R+,,137,0,137,
E,DPE,3W,EDPE3W,12/4/20,3,16,81,ambient,R+,,72,0,72,
E,DPE,4W,EDPE4W,12/4/20,3,16,81,ambient,R+,,127,0,127,
E,DPE,5W,EDPE5W,12/4/20,3,16,81,ambient,R+,,161,0,161,
F,ACY,1W,FACY1W,10/4/20,3,14,79,ambient,R+,,9,31,40,0
F,ACY,2W,FACY2W,10/4/20,3,14,79,ambient,R+,,9,16,25,0
F,ACY,3W,FACY3W,10/4/20,3,14,79,ambient,R+,,6,2,8,0
F,ACY,4W,FACY4W,10/4/20,3,14,79,ambient,R+,,5,12,17,0
F,ACY,2D,FACY2D,10/4/20,3,14,79,ambient,R+,,9,2,11,0
F,CAL,1W,FCAL1W,11/4/20,3,15,80,ambient,R-,,10,31,41,
F,CAL,2W,FCAL2W,11/4/20,3,15,80,ambient,R-,,12,16,28,
F,CAL,3W,FCAL3W,11/4/20,3,15,80,ambient,R-,,7,2,9,
F,CAL,4W,FCAL4W,11/4/20,3,15,80,ambient,R-,,2,12,14,
F,CAL,1D,FCAL1D,11/4/20,3,15,80,ambient,R-,,12,2,14,
F,ROF,1W,FROF1W,16/04/2020,3,20,85,ambient,R-,,21,64,85,
F,ROF,2W,FROF2W,16/04/2020,3,20,85,ambient,R-,,31,63,94,
F,ROF,3W,FROF3W,16/04/2020,3,20,85,ambient,R-,,26,40,66,
F,ROF,4W,FROF4W,16/04/2020,3,20,85,ambient,R-,,28,64,92,
F,ROF,5W,FROF5W,16/04/2020,3,20,85,ambient,R-,,16,28,44,
F,LST,1D,FLST1D,13/04/2020,3,17,82,ambient,R-,,19,0,19,
F,LST,2DG,FLST2DG,13/04/2020,3,17,82,ambient,R-,,27,153,180,4
F,LST,5D,FLST5D,13/04/2020,3,17,82,ambient,R-,,27,114,141,
F,LST,4D,FLST4D,13/04/2020,3,17,82,ambient,R-,,0,14,14,
F,DPE,1W,FDPE1W,12/4/20,3,16,81,ambient,R+,,34,0,34,
F,DPE,3W,FDPE3W,12/4/20,3,16,81,ambient,R+,,110,0,110,
F,DPE,1D,FDPE1D,12/4/20,3,16,81,ambient,R+,,188,0,188,
F,DPE,3D,FDPE3D,12/4/20,3,16,81,ambient,R+,,85,0,85,
