greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,water_potential_bar,water_potential_mpa,osmotic_potential_mmol.kg-1,osmotic_potential_mpa,obs
D,DPE,3W,DDPE3W,10/02/2020,1,15,19,ambient,R+,19.1,-1.91,527,-1.2816113,
D,DPE,1D,DDPE1D,10/02/2020,1,15,19,ambient,R+,17.9,-1.79,675,-1.6415325,
E,ACY,1W,EACY1W,14/02/2020,1,19,23,ambient,R+,16.7,-1.67,585,-1.4226615,
E,ACY,2W,EACY2W,14/02/2020,1,19,23,ambient,R+,13.4,-1.34,554,-1.3472726,
E,ACY,3W,EACY3W,14/02/2020,1,19,23,ambient,R+,13.4,-1.34,556,-1.3521364,
E,ACY,5W,EACY5W,14/02/2020,1,19,23,ambient,R+,14.5,-1.45,539,-1.3107941,
E,CAL,1W,ECAL1W,13/02/2020,1,18,22,ambient,R-,14.4,-1.44,569,-1.3837511,
E,CAL,2W,ECAL2W,13/02/2020,1,18,22,ambient,R-,15,-1.5,532,-1.2937708,
E,CAL,3W,ECAL3W,13/02/2020,1,18,22,ambient,R-,13,-1.3,472,-1.1478568,
E,CAL,4W,ECAL4W,13/02/2020,1,18,22,ambient,R-,11.4,-1.14,507,-1.2329733,
E,CAL,5W,ECAL5W,13/02/2020,1,18,22,ambient,R-,11.2,-1.12,519,-1.2621561,
E,ROF,1W,EROF1W,12/02/2020,1,17,21,ambient,R-,10.3,-1.03,420,-1.021398,
E,ROF,2W,EROF2W,12/02/2020,1,17,21,ambient,R-,8.9,-0.89,419,-1.0189661,
E,ROF,3W,EROF3W,12/02/2020,1,17,21,ambient,R-,11,-1.1,402,-0.9776238,
E,ROF,4W,EROF4W,12/02/2020,1,17,21,ambient,R-,8.7,-0.87,376,-0.9143944,
E,ROF,5W,EROF5W,12/02/2020,1,17,21,ambient,R-,8.9,-0.89,374,-0.9095306,
E,LST,1W,ELST1W,11/02/2020,1,16,20,ambient,R-,14.3,-1.43,419,-1.0189661,
