"greenhouse","species","plant_no","date","drought_phase","phase_day","total_day","start_pot_weight_kg","water.added.l","result_pot_weight_kg","water_lost_kg","days_since_water","water_lost_per_day_kg","start_swc_estimate","result_swc_estimate","plant","resprouter","co2","swc_diff","start_swc_standardized","result_swc_standardized","transpiration_g_day"
"F","CAL","2W",2020-02-11,"1",16,20,8.6,0.4,9,-0.4,1,-0.4,52.9661016949153,61.4406779661017,"FCAL2W","R-","ambient",9.4688375813729,43.4972641135424,51.9718403847288,400
"F","CAL","2W",2020-02-12,"1",17,21,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL2W","R-","ambient",9.4688375813729,49.8531963169322,51.9718403847288,100
"F","CAL","2W",2020-03-11,"2",17,49,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,28.6667556389661,30.7853997067627,100
"F","CAL","2W",2020-03-12,"2",18,50,7.7,0.3,8,-0.3,1,-0.3,33.8983050847458,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,24.4294675033729,30.7853997067627,300
"F","CAL","2W",2020-03-28,"3",1,66,6.9,0.1,7,-0.3,3,-0.1,16.9491525423729,19.0677966101695,"FCAL2W","R-","ambient",9.4688375813729,7.480314961,9.5989590287966,100
"F","CAL","2W",2020-02-26,"2",3,35,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,28.6667556389661,30.7853997067627,100
"F","CAL","2W",2020-02-27,"2",4,36,7.8,0.2,8,-0.2,1,-0.2,36.0169491525424,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,26.5481115711695,30.7853997067627,200
"F","CAL","2W",2020-02-28,"2",5,37,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,28.6667556389661,30.7853997067627,100
"F","CAL","2W",2020-03-02,"2",8,40,7.4,0.6,8,-0.6,3,-0.2,27.542372881356,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,18.0735352999831,30.7853997067627,200
"F","CAL","2W",2020-03-03,"2",9,41,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,28.6667556389661,30.7853997067627,100
