greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,length_main_root_cm,diameter_top_mainroot_mm,fresh_weight_soil_bucketplus2.12kg,fresh_weight_allpotsoil_g,estim_dryweight_allpot_g,pot_bulk_density_g/cm3,soil_freshweight_1liter,soil_dryweight_1liter,grav_swc_perc,grav_swc (g/g),bulk_density_ (g/cm3) ,vol_swc_perc,vol_swc(cm3/cm3),ysoil_bc(kpa),total_leaves_dryweight_bag,total_stem_dryweight_bag,main_roots_dryweight_bag,fine_roots_dryweight_bag,observations..a...or.2.circled.next.to.the.number.means.2.bags..M.means.brown.bag..maron...N.new.bag.larger,"normal:2.975,2x normal.white.bag:5.950g,N.white.bag.new.larger:7.051.g.M.brown.bag.large:20.546g",bag_weight_leaves,bag_weight_stem,bag_weight_mainroots,bag_weight_fineroots,leaves_biomass,stems_biomass,main_roots_biomass,fine_roots_biomass,total_aboveground_biomass,total_belowground_biomass,root_shoot_ratio
A,LST,2D,ALST2D,13/04/2020,3,17,82,elevated,R-,45,5.04,7.7,5580,4909.73,0.491,746,666,12.01201201,0.12012012,0.666,8,0.08,-679.8748702,9.82,11.067,6.597,5.75,,,2.975,2.975,2.975,2.975,6.845,8.092,3.622,2.775,14.937,6.397,0.428265381
A,DPE,1W,ADPE1W,12/4/20,3,16,81,elevated,R+,72,10.62,7.6,5480,5109.229,0.511,789,739,6.765899865,0.067658999,0.739,5,0.05,-3229.138937,6.365,87.722,19.451,8.082,,2 bags  stems,2.975,5.95,2.975,2.975,3.39,81.772,16.476,5.107,85.162,21.583,0.25343463
A,DPE,2W,ADPE2W,12/4/20,3,16,81,elevated,R+,60,8.05,7.4,5280,4835.368,0.484,824,760,8.421052632,0.084210526,0.76,6.4,0.064,-1424.576192,15.747,48.824,10.819,11.224,,,2.975,2.975,2.975,2.975,12.772,45.849,7.844,8.249,58.621,16.093,0.274526194
A,DPE,3W,ADPE3W,12/4/20,3,16,81,elevated,R+,69,8.51,7.6,5480,5131.638,0.513,870,818,6.356968215,0.063569682,0.818,5.2,0.052,-2835.444896,8.104,46.94,11.573,9.815,,,2.975,2.975,2.975,2.975,5.129,43.965,8.598,6.84,49.094,15.438,0.314457979
A,DPE,4W,ADPE4W,12/4/20,3,16,81,elevated,R+,65,7.73,7.6,5480,5076.564,0.508,875,815,7.36196319,0.073619632,0.815,6,0.06,-1764.415648,9.58,36.263,10.016,6.965,,,2.975,2.975,2.975,2.975,6.605,33.288,7.041,3.99,39.893,11.031,0.276514677
A,DPE,3D,ADPE3D,12/4/20,3,16,81,elevated,R+,64,8.61,7.4,5280,4914.349,0.491,772,722,6.925207756,0.069252078,0.722,5,0.05,-3229.138937,18.263,60.279,13.345,9.666,,,2.975,2.975,2.975,2.975,15.288,57.304,10.37,6.691,72.592,17.061,0.235025898
B,ACY,1W,BACY1W,10/4/20,3,14,79,elevated,R+,80,7.43,7.6,5480,5197.526,0.52,918,873,5.154639175,0.051546392,0.873,4.5,0.045,-4579.02287,11.55,47.682,12.268,7.506,,2 bags stems,2.975,5.95,2.975,2.975,8.575,41.732,9.293,4.531,50.307,13.824,0.274792772
B,ACY,2W,BACY2W,10/4/20,3,14,79,elevated,R+,72,11.98,7.9,5780,5259.971,0.526,739,678,8.997050147,0.089970501,0.678,6.1,0.061,-1670.336197,19.944,91.452,18.21,7.93,,2 bags stems,2.975,5.95,2.975,2.975,16.969,85.502,15.235,4.955,102.471,20.19,0.197031355
B,ACY,3W,BACY3W,10/4/20,3,14,79,elevated,R+,87,13.85,7.6,5480,5276.122,0.528,920,887,3.720405862,0.037204059,0.887,3.3,0.033,-12802.61204,11.864,110.027,30.991,10.618,,2 bags stems,2.975,5.95,2.975,2.975,8.889,104.077,28.016,7.643,112.966,35.659,0.315661349
B,ACY,5W,BACY5W,10/4/20,3,14,79,elevated,R+,99,12.47,6.9,4780,3791.331,0.379,671,556,20.68345324,0.206834532,0.556,11.5,0.115,-204.154499,31.527,80.528,21.141,9.855,main roots 2 bags,,2.975,2.975,5.95,2.975,28.552,77.553,15.191,6.88,106.105,22.071,0.208010933
